date,home_team,away_team,home_score,away_score,tournament,neutral
2020-01-02,Türkiye,Australia,0,1,FIFA World Cup,1
2020-01-03,Ecuador,Portugal,2,4,Friendly,1
2020-01-04,Portugal,Qatar,4,0,Friendly,0
2020-01-04,DR Congo,France,0,4,Qualifiers,1
2020-01-05,Uruguay,Egypt,0,3,Qualifiers,0
2020-01-05,Japan,Portugal,0,2,Continental Cup,1
2020-01-05,Haiti,Croatia,0,1,Continental Cup,1
2020-01-06,Japan,Ivory Coast,1,0,FIFA World Cup,1
2020-01-06,Ecuador,Spain,0,2,Continental Cup,1
2020-01-07,Bosnia and Herzegovina,Norway,2,2,Friendly,0
2020-01-07,Brazil,Ecuador,1,1,Qualifiers,1
2020-01-09,Saudi Arabia,Sweden,1,2,Qualifiers,1
2020-01-09,Haiti,Algeria,0,3,Qualifiers,1
2020-01-09,Iraq,Portugal,0,1,Qualifiers,0
2020-01-09,Uzbekistan,Spain,2,1,Continental Cup,1
2020-01-10,Paraguay,South Africa,1,1,Continental Cup,1
2020-01-11,Ghana,Scotland,3,1,Friendly,0
2020-01-12,Croatia,Japan,3,1,Friendly,1
2020-01-12,Netherlands,South Africa,1,0,Qualifiers,1
2020-01-12,Japan,France,1,0,Qualifiers,1
2020-01-14,Japan,France,3,3,Qualifiers,0
2020-01-14,Ivory Coast,Tunisia,3,1,Friendly,0
2020-01-15,Jordan,Sweden,2,1,Continental Cup,1
2020-01-16,Ivory Coast,Mexico,0,1,Qualifiers,1
2020-01-16,Morocco,Norway,2,1,Qualifiers,0
2020-01-18,Paraguay,Norway,3,1,Friendly,0
2020-01-19,USA,Mexico,1,3,Continental Cup,1
2020-01-20,Panama,South Africa,0,0,Friendly,0
2020-01-21,Paraguay,Algeria,1,1,Continental Cup,1
2020-01-22,Belgium,England,2,0,Continental Cup,1
2020-01-22,Morocco,Brazil,3,3,Qualifiers,0
2020-01-23,Egypt,Ghana,3,2,Qualifiers,0
2020-01-24,Cape Verde,Czechia,0,0,Qualifiers,1
2020-01-25,Senegal,New Zealand,1,0,Qualifiers,1
2020-01-27,South Africa,Bosnia and Herzegovina,0,1,Qualifiers,0
2020-01-30,Japan,Sweden,2,3,Qualifiers,0
2020-01-31,Curaçao,Japan,0,2,Qualifiers,1
2020-01-31,Iraq,Switzerland,0,1,Continental Cup,1
2020-02-01,Qatar,South Korea,0,1,Friendly,1
2020-02-02,Mexico,Algeria,3,1,Qualifiers,1
2020-02-03,Bosnia and Herzegovina,Paraguay,0,1,Qualifiers,1
2020-02-03,Morocco,Jordan,2,2,Friendly,0
2020-02-04,Sweden,Uzbekistan,0,1,Qualifiers,1
2020-02-04,England,Argentina,3,1,FIFA World Cup,1
2020-02-04,Senegal,Australia,2,0,Friendly,1
2020-02-04,England,New Zealand,5,0,Friendly,0
2020-02-06,Saudi Arabia,Curaçao,4,1,Continental Cup,1
2020-02-09,Uruguay,South Korea,0,3,FIFA World Cup,1
2020-02-09,South Africa,Switzerland,0,1,Qualifiers,1
2020-02-10,Bosnia and Herzegovina,Brazil,0,4,Continental Cup,1
2020-02-10,Sweden,Scotland,0,2,Friendly,1
2020-02-11,England,Cape Verde,4,2,Friendly,1
2020-02-12,Cape Verde,England,0,2,Friendly,1
2020-02-13,Senegal,Paraguay,2,1,Qualifiers,0
2020-02-13,Canada,Portugal,2,0,Qualifiers,0
2020-02-13,Paraguay,Switzerland,0,1,Friendly,0
2020-02-13,Haiti,Sweden,1,0,Qualifiers,0
2020-02-16,South Africa,Switzerland,2,2,Continental Cup,1
2020-02-16,Australia,Japan,0,1,Qualifiers,1
2020-02-17,Panama,Brazil,0,3,Qualifiers,0
2020-02-17,Iran,France,3,1,Qualifiers,0
2020-02-18,Portugal,Netherlands,0,0,Friendly,1
2020-02-19,Scotland,Saudi Arabia,0,2,Qualifiers,0
2020-02-21,USA,Tunisia,0,4,Friendly,0
2020-02-22,Uruguay,England,0,2,Friendly,1
2020-02-22,Norway,USA,1,1,Continental Cup,1
2020-02-23,New Zealand,South Korea,1,1,Friendly,1
2020-02-23,Ivory Coast,South Africa,3,2,Qualifiers,0
2020-02-24,Panama,Netherlands,3,3,Friendly,0
2020-02-24,Cape Verde,Uzbekistan,2,2,Friendly,1
2020-02-24,Scotland,Canada,1,0,Friendly,1
2020-02-25,Spain,USA,1,3,Qualifiers,0
2020-02-25,Netherlands,Türkiye,0,1,Qualifiers,1
2020-02-27,Switzerland,Spain,3,1,Continental Cup,1
2020-02-28,Australia,Norway,2,0,Qualifiers,0
2020-02-28,Scotland,Czechia,3,0,Qualifiers,1
2020-02-28,Qatar,South Africa,1,1,Qualifiers,0
2020-02-29,Haiti,Mexico,1,3,Qualifiers,0
2020-03-03,Colombia,Argentina,5,1,Friendly,0
2020-03-04,Haiti,Canada,2,1,Friendly,1
2020-03-04,DR Congo,Belgium,2,1,Qualifiers,1
2020-03-04,Australia,Panama,2,3,Friendly,0
2020-03-04,South Korea,Iran,1,0,Friendly,0
2020-03-05,Spain,Australia,2,0,Friendly,1
2020-03-06,Ivory Coast,Norway,2,1,Friendly,1
2020-03-06,Norway,Netherlands,0,1,Qualifiers,0
2020-03-06,Brazil,Cape Verde,0,1,Continental Cup,1
2020-03-06,Portugal,Scotland,2,2,Continental Cup,1
2020-03-06,Australia,England,3,3,Qualifiers,0
2020-03-07,Bosnia and Herzegovina,Japan,0,1,Qualifiers,1
2020-03-07,Norway,Mexico,0,1,Friendly,0
2020-03-09,South Korea,Brazil,3,3,Qualifiers,1
2020-03-09,Ivory Coast,Switzerland,1,1,FIFA World Cup,1
2020-03-11,South Africa,Switzerland,1,3,FIFA World Cup,1
2020-03-12,Tunisia,Scotland,0,0,Qualifiers,1
2020-03-12,Netherlands,Portugal,3,1,Qualifiers,0
2020-03-14,Brazil,Uruguay,2,1,Friendly,1
2020-03-16,Ivory Coast,Scotland,2,1,Qualifiers,1
2020-03-16,New Zealand,Germany,1,7,Qualifiers,0
2020-03-17,DR Congo,Switzerland,0,4,Qualifiers,1
2020-03-17,Jordan,Switzerland,1,0,Qualifiers,0
2020-03-18,Jordan,Ecuador,1,3,Friendly,1
2020-03-19,Qatar,South Korea,2,2,Friendly,0
2020-03-20,Egypt,Jordan,0,2,Qualifiers,1
2020-03-20,Brazil,Ivory Coast,3,1,Friendly,0
2020-03-21,Scotland,Spain,2,1,Friendly,1
2020-03-21,DR Congo,Morocco,2,1,FIFA World Cup,1
2020-03-21,Colombia,Germany,2,1,Qualifiers,0
2020-03-21,Haiti,Ecuador,1,0,Continental Cup,1
2020-03-23,Japan,Austria,2,2,Friendly,0
2020-03-25,England,Sweden,2,1,FIFA World Cup,1
2020-03-26,Curaçao,Haiti,1,1,Qualifiers,1
2020-03-27,Algeria,Mexico,0,4,Continental Cup,1
2020-03-28,Paraguay,South Korea,1,1,Continental Cup,1
2020-03-29,Curaçao,Croatia,1,3,Friendly,1
2020-03-29,Saudi Arabia,Germany,3,1,Qualifiers,0
2020-03-30,Brazil,France,0,0,Friendly,1
2020-03-30,USA,Sweden,1,2,Friendly,0
2020-03-30,Belgium,Ivory Coast,2,2,Qualifiers,0
2020-04-01,Egypt,Cape Verde,1,2,FIFA World Cup,1
2020-04-04,England,Croatia,0,1,Qualifiers,1
2020-04-04,South Korea,Haiti,1,0,Friendly,0
2020-04-04,Germany,Switzerland,2,0,Friendly,0
2020-04-05,Haiti,Algeria,2,3,FIFA World Cup,1
2020-04-05,Norway,Jordan,3,3,Qualifiers,0
2020-04-06,Bosnia and Herzegovina,Paraguay,1,0,Qualifiers,1
2020-04-06,New Zealand,Japan,1,3,Qualifiers,0
2020-04-08,Switzerland,Haiti,1,0,Continental Cup,1
2020-04-09,Mexico,Saudi Arabia,1,0,Continental Cup,1
2020-04-10,Norway,Croatia,2,3,Friendly,1
2020-04-10,Algeria,Spain,0,2,Continental Cup,1
2020-04-10,Ecuador,Haiti,3,0,Continental Cup,1
2020-04-11,Germany,Uzbekistan,2,1,Qualifiers,1
2020-04-11,Switzerland,Haiti,4,0,Friendly,1
2020-04-12,South Korea,Netherlands,0,0,Qualifiers,0
2020-04-12,Sweden,Egypt,1,2,Qualifiers,1
2020-04-13,Uruguay,Switzerland,3,3,Continental Cup,1
2020-04-14,Paraguay,Curaçao,0,0,FIFA World Cup,1
2020-04-15,South Korea,New Zealand,3,0,Qualifiers,1
2020-04-16,Sweden,Qatar,2,1,Qualifiers,1
2020-04-16,Australia,Qatar,1,1,Qualifiers,0
2020-04-19,Panama,Switzerland,3,4,Qualifiers,0
2020-04-20,New Zealand,Cape Verde,1,2,Continental Cup,1
2020-04-20,Ivory Coast,Saudi Arabia,2,4,Friendly,1
2020-04-21,Brazil,Switzerland,0,0,Qualifiers,0
2020-04-22,Ghana,Germany,2,2,Qualifiers,0
2020-04-22,Senegal,Cape Verde,2,2,Qualifiers,0
2020-04-26,Mexico,Colombia,0,2,Continental Cup,1
2020-04-27,Uzbekistan,Argentina,0,3,Qualifiers,0
2020-04-27,Tunisia,Germany,4,1,Friendly,0
2020-04-28,Haiti,Norway,3,2,Qualifiers,0
2020-04-28,Iraq,Argentina,0,1,Friendly,1
2020-04-29,Curaçao,Uzbekistan,2,1,Friendly,1
2020-04-29,Scotland,Portugal,1,3,Friendly,1
2020-05-01,Qatar,Paraguay,2,1,Qualifiers,1
